ORGAN	RP	ALT	W	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10
#Circulatory_disturbances	
gills	rp1	haem_hyper_aneu	1	4.2	2.2	2.6	5.01	5.1	4.78	3.65	3.84	3.17	4.4
gills	rp1	inter_oedema	1	1.2	2.2	2.8	5.61	3.13	5.7	3.9	3.71	4.98	3.35
#Regressive_changes:Epithelium	
gills	rp2	architec_alt	1	1.9	2.6	3	2.24	5.08	4.81	3.4	1.56	3.64	4.25
gills	rp2	plasma_alt	1	0.5	1.5	0.6	2.46	5.07	5.34	3.37	6	3.61	4.33
gills	rp2	deposits	1	1.5	1.5	2.2	4.57	4.13	3.25	6	3.82	3.63	3.18
gills	rp2	nuclear_alt	2	1.6	1.6	1.5	5.19	3.07	2.39	5.74	3.14	4.67	2.03
gills	rp2	atrophy	2	1.3	2.9	1.6	2.07	3.56	3.67	4.7	3.92	3.04	2.53
gills	rp2	necrosis	3	2.5	2.1	3.5	4.61	5.22	5.97	1.4	4.79	4.21	4.4
#Regressive_changes: Supporting_tissue	
gills	rp2	architec_alt	1	2	4.3	2.5	3	4.72	3.38	4.73	3.87	4.09	4.78
gills	rp2	plasma_alt	1	1.3	2.8	2	4.99	4.49	4.27	4.09	3.66	3.72	3.31
gills	rp2	deposits	1	2.5	3.1	1.4	4.79	4.21	4.4	2.73	3.92	2.76	3.44
gills	rp2	nuclear_alt	2	0.8	1.1	3.7	3.25	4.1	3.38	4.37	4.93	5.55	3.6
gills	rp2	atrophy	2	2.4	2	1.9	4.31	4.99	5.04	2.9	3.99	2.74	3.74
gills	rp2	necrosis	3	3.4	2.3	1.3	3.06	4.85	3.92	4.81	4.11	3.8	3.94
#Progressive_changes: Epithelium	
gills	rp3	hypertrophy	1	1.4	2.3	0.5	3.4	5.45	4.13	3.88	4.44	2.98	2.87
gills	rp3	hyperplasia	2	2	1.5	3.5	4.88	1.76	4.72	4.02	4.07	5.5	4.21
#Progressive_changes: Supporting_tissue	
gills	rp3	hypertrophy	1	2.4	2.7	0.6	3.17	4.74	3.5	4.76	4.67	3.03	4.76
gills	rp3	hyperplasia	2	2.7	2.2	3.4	3.89	3.87	4.81	2.08	3.69	3.52	3.9
#Inflammation	
gills	rp4	exudate	1	2.7	3	2.8	4.26	3.71	3.97	3.22	4.98	4.74	3.11
gills	rp4	Activation_RES	1	3.4	2.2	2.8	3.49	3.55	2.73	4.43	2.9	3.17	4.37
gills	rp4	Infiltration	2	2.8	3.2	1.7	2.55	2.99	2.73	3.87	2.64	3.56	3.16
#Tumor	
gills	rp5	benign_tumor	2	2.9	2.5	1.5	3.27	3.87	2.76	5.44	2.73	4.25	3.01
gills	rp5	malignant_tumor	3	1.9	3.1	1.5	3.17	4.65	3.76	5.02	4.37	4.29	3.73
#Circulatory_disturbances	
kidney	rp1	haem_hyper_aneu	1	3.3	2.5	4.1	4.02	3.81	3.93	2.67	3.98	4.4	5.28
kidney	rp1	inter_oedema	1	3	0.9	2.7	3.1	5.38	3.74	4.7	6	3.02	6
#Regressive_changes:Tubule	
kidney	rp2	architec_alt	1	2.1	2.8	3.4	3	3.52	5.44	5.54	5.32	3.46	4.33
kidney	rp2	plasma_alt	1	1.9	2.5	3.4	4.4	4.13	4.02	2.42	3.19	4.99	4.28
kidney	rp2	deposits	1	3.5	4.1	3.8	4.31	4.45	5.78	4.32	4.07	2.54	4.08
